"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
0560011,Granby School District,Math,686,659,645,661,631,619,51.50%,37.60%,47.90%,45.80%,47.40%,43.10%,72.80%,58.30%,67.50%,67.40%,69.10%,61.70%
2940013,Great Oaks Charter School District,ELA,206,279,272,276,241,253,40.30%,20.10%,23.50%,37.30%,29.00%,43.90%,60.00%,37.90%,45.10%,58.30%,49.30%,69.90%
2940013,Great Oaks Charter School District,Math,203,276,273,278,233,257,44.80%,34.80%,41.00%,26.60%,38.60%,36.60%,62.80%,52.00%,55.60%,40.50%,55.50%,56.70%
0570011,Greenwich School District,ELA,3025,3104,3226,3219,3038,2979,53.90%,46.50%,52.90%,51.10%,50.60%,52.40%,71.80%,64.00%,70.60%,68.90%,67.50%,68.80%
0570011,Greenwich School District,Math,3060,3103,3218,3216,3022,2968,55.80%,59.00%,54.50%,56.50%,55.70%,57.30%,74.00%,77.60%,71.60%,73.70%,72.50%,74.60%
0580011,Griswold School District,ELA,635,628,615,625,558,562,42.20%,36.80%,40.50%,35.70%,25.60%,42.00%,63.70%,59.20%,59.40%,57.20%,47.80%,66.50%
0580011,Griswold School District,Math,635,624,614,625,557,561,50.10%,57.90%,44.60%,42.10%,36.10%,49.40%,70.30%,79.00%,65.40%,62.50%,57.70%,71.10%
0590011,Groton School District,ELA,1403,1425,1403,1466,1276,1303,41.10%,39.00%,40.80%,41.20%,41.90%,33.00%,61.10%,60.00%,61.10%,61.30%,63.00%,52.30%
0590011,Groton School District,Math,1412,1420,1402,1463,1262,1295,45.50%,38.20%,41.30%,49.50%,50.00%,36.80%,65.40%,58.70%,61.30%,69.50%,70.40%,55.60%
0600011,Guilford School District,ELA,1303,1304,1271,1258,1083,1135,54.10%,44.90%,55.50%,49.70%,50.30%,43.60%,72.20%,62.00%,72.40%,66.50%,68.60%,61.00%
0600011,Guilford School District,Math,1302,1303,1270,1257,1084,1133,58.00%,58.30%,60.20%,58.80%,52.90%,50.20%,78.10%,77.50%,78.70%,75.80%,72.00%,67.70%
0620011,Hamden School District,ELA,1835,1867,1885,1923,1732,1790,37.30%,34.10%,39.30%,33.80%,40.20%,33.30%,57.30%,54.00%,58.80%,52.20%,61.50%,53.60%
0620011,Hamden School District,Math,1833,1845,1882,1917,1687,1783,36.10%,41.50%,36.70%,42.30%,46.50%,43.90%,56.50%,62.90%,56.60%,61.90%,67.40%,63.60%
0630011,Hampton School District,ELA,28,39,41,33,24,22,53.60%,53.80%,48.80%,33.30%,25.00%,31.80%,78.80%,77.60%,72.20%,60.10%,50.90%,52.10%
0630011,Hampton School District,Math,27,38,41,33,24,22,55.60%,68.40%,41.50%,45.50%,41.70%,36.40%,79.50%,81.90%,81.80%,74.50%,68.40%,63.40%
0640011,Hartford School District,ELA,6808,6878,6652,6640,5325,5342,32.20%,23.50%,31.80%,29.00%,30.10%,28.30%,54.40%,43.20%,54.80%,51.40%,51.90%,50.80%
0640011,Hartford School District,Math,6910,6731,6570,6591,5078,5266,33.80%,27.60%,36.80%,29.80%,34.70%,32.60%,55.80%,47.10%,57.10%,48.90%,53.60%,52.10%
0650011,Hartland School District,ELA,105,103,96,85,81,69,57.10%,42.70%,40.60%,54.10%,46.90%,46.40%,79.70%,67.30%,63.80%,72.50%,67.30%,69.10%
0650011,Hartland School District,Math,104,101,94,85,81,69,60.60%,53.50%,41.50%,57.60%,48.10%,56.50%,82.40%,72.70%,66.70%,77.30%,67.60%,78.70%
0670011,Hebron School District,ELA,341,309,291,255,258,251,44.90%,41.70%,34.00%,39.20%,39.90%,49.80%,69.00%,63.40%,57.10%,59.70%,59.60%,68.70%
0670011,Hebron School District,Math,342,309,291,255,257,251,56.70%,57.00%,43.60%,43.90%,46.70%,48.60%,82.20%,80.70%,68.40%,66.20%,69.20%,70.70%
2860013,Highville Charter School District,ELA,181,169,152,152,137,153,32.60%,23.70%,23.70%,28.30%,28.50%,30.10%,54.80%,46.30%,47.30%,55.40%,53.50%,52.00%
2860013,Highville Charter School District,Math,181,169,152,152,126,151,47.00%,33.70%,19.70%,29.60%,31.70%,26.50%,67.90%,52.60%,41.60%,55.00%,52.40%,46.60%
2640013,Integrated Day Charter School District,ELA,157,154,158,164,176,185,31.80%,45.50%,36.70%,34.80%,47.70%,37.30%,52.40%,64.80%,56.70%,52.60%,69.60%,61.10%
2640013,Integrated Day Charter School District,Math,154,149,155,164,171,184,42.90%,38.30%,26.50%,43.30%,40.40%,33.70%,64.80%,58.20%,48.50%,66.30%,64.70%,55.20%
2650013,Interdistrict School for Arts and Comm District,ELA,254,251,246,251,253,261,32.70%,26.70%,25.20%,31.10%,37.50%,39.10%,47.50%,43.80%,42.90%,50.40%,58.50%,59.50%
2650013,Interdistrict School for Arts and Comm District,Math,252,251,245,251,245,256,18.70%,29.10%,21.60%,26.30%,41.60%,49.60%,33.00%,45.00%,38.50%,43.60%,62.20%,69.70%
2610013,Jumoke Academy District,ELA,325,315,330,322,277,242,34.80%,25.70%,34.80%,27.30%,26.70%,29.30%,54.50%,48.90%,54.80%,48.30%,46.10%,51.40%
2610013,Jumoke Academy District,Math,326,315,325,318,270,242,35.30%,32.10%,33.20%,24.20%,38.50%,24.80%,55.70%,52.90%,55.10%,44.30%,56.60%,46.90%
0680011,Kent School District,ELA,126,127,126,104,98,83,47.60%,55.90%,46.80%,57.70%,33.70%,59.00%,62.70%,73.40%,62.00%,72.60%,48.80%,69.80%
0680011,Kent School District,Math,126,127,125,104,98,83,52.40%,40.90%,43.20%,51.00%,48.00%,48.20%,70.10%,61.90%,64.10%,68.50%,68.50%,66.80%
0690011,Killingly School District,ELA,773,764,776,764,676,754,48.60%,29.80%,38.90%,43.10%,37.40%,37.30%,70.10%,49.30%,60.30%,62.90%,62.80%,59.40%
0690011,Killingly School District,Math,771,760,775,759,646,746,40.50%,23.30%,41.50%,35.40%,44.90%,31.80%,63.70%,42.40%,63.70%,56.00%,64.40%,53.00%
2450014,Learn,ELA,296,318,386,432,152,168,45.30%,33.30%,40.40%,36.10%,37.50%,33.30%,70.90%,52.90%,64.80%,62.80%,66.60%,58.10%
2450014,Learn,Math,300,315,385,431,146,166,41.30%,32.40%,31.20%,41.50%,52.70%,19.30%,65.40%,59.30%,55.80%,63.80%,77.40%,43.10%
0710011,Lebanon School District,ELA,337,342,321,339,312,308,50.40%,32.20%,38.90%,35.70%,46.50%,32.10%,67.10%,48.30%,59.10%,51.40%,63.70%,47.10%
0710011,Lebanon School District,Math,333,340,318,337,308,306,41.70%,38.80%,38.70%,44.80%,57.80%,49.00%,65.40%,58.10%,59.80%,64.60%,77.90%,65.60%
0720011,Ledyard School District,ELA,776,797,812,817,813,841,42.10%,31.60%,37.80%,32.10%,38.70%,30.90%,62.00%,50.20%,57.20%,53.20%,60.50%,49.40%
0720011,Ledyard School District,Math,778,793,808,815,804,840,47.90%,36.30%,50.00%,39.40%,48.30%,38.00%,70.10%,56.50%,69.70%,60.40%,68.40%,58.40%
0730011,Lisbon School District,ELA,203,212,204,206,202,193,36.90%,34.00%,44.10%,36.90%,41.10%,44.00%,57.20%,51.10%,66.20%,55.10%,63.00%,62.50%
0730011,Lisbon School District,Math,203,212,204,203,201,192,42.90%,37.70%,37.30%,37.40%,72.10%,56.30%,68.10%,58.80%,55.90%,61.50%,89.50%,77.30%
0740011,Litchfield School District,ELA,372,336,313,309,301,297,56.70%,39.90%,47.30%,46.00%,37.90%,47.10%,75.40%,58.50%,64.80%,62.90%,54.30%,65.90%
0740011,Litchfield School District,Math,372,336,313,309,300,297,57.30%,51.50%,52.10%,49.50%,51.70%,58.20%,74.70%,70.10%,70.60%,72.10%,68.00%,75.40%
0760011,Madison School District,ELA,964,882,828,805,815,811,37.20%,33.20%,34.90%,38.80%,45.60%,47.80%,54.60%,50.00%,52.70%,57.80%,63.90%,66.70%
0760011,Madison School District,Math,962,868,820,802,815,811,41.20%,42.60%,44.60%,45.00%,54.50%,61.70%,59.40%,62.00%,62.00%,62.90%,71.90%,80.10%
0770011,Manchester School District,ELA,1962,2011,2041,2002,1674,1954,35.00%,26.00%,29.40%,27.70%,29.50%,28.50%,57.30%,45.60%,50.50%,50.00%,50.80%,48.40%
0770011,Manchester School District,Math,1964,1995,2020,1965,1605,1926,32.60%,31.30%,25.90%,34.00%,34.00%,33.80%,54.50%,52.00%,44.70%,54.40%,54.10%,53.90%
0780011,Mansfield School District,ELA,537,589,578,585,519,492,51.00%,45.00%,50.50%,51.80%,48.90%,43.50%,68.30%,61.00%,65.80%,68.70%,66.40%,62.20%
0780011,Mansfield School District,Math,541,588,572,583,512,490,53.80%,53.60%,51.60%,58.70%,55.50%,49.20%,70.80%,70.10%,66.40%,76.50%,72.50%,66.40%
0790011,Marlborough School District,ELA,253,262,228,205,165,173,56.10%,45.40%,46.10%,45.40%,42.40%,42.20%,77.40%,65.50%,65.30%,64.60%,64.00%,66.30%
0790011,Marlborough School District,Math,252,261,228,205,165,173,60.30%,46.00%,56.10%,58.00%,60.60%,53.20%,84.10%,70.40%,77.70%,82.00%,87.00%,76.70%
0800011,Meriden School District,ELA,2450,2575,2601,2747,2996,3085,39.30%,29.10%,39.40%,40.40%,40.10%,37.00%,61.80%,49.60%,62.40%,61.60%,61.20%,58.20%
0800011,Meriden School District,Math,2449,2544,2554,2690,2911,3059,40.30%,34.80%,42.70%,39.50%,42.10%,39.70%,64.00%,56.20%,63.70%,60.60%,61.10%,58.70%
0830011,Middletown School District,ELA,1606,1616,1566,1563,1545,1556,38.00%,33.40%,32.70%,40.00%,39.40%,26.10%,58.60%,53.50%,53.70%,61.90%,60.40%,46.30%
0830011,Middletown School District,Math,1607,1610,1559,1555,1531,1549,37.50%,37.40%,36.60%,35.20%,39.40%,28.30%,57.30%,57.70%,56.30%,54.80%,58.90%,49.90%
0840011,Milford School District,ELA,2191,2122,2040,1966,1835,1850,48.20%,41.00%,39.90%,46.10%,38.50%,35.50%,68.30%,60.60%,59.50%,66.60%,59.10%,55.90%
0840011,Milford School District,Math,2184,2104,2031,1968,1829,1847,46.10%,48.40%,45.40%,45.00%,44.00%,45.20%,67.00%,69.50%,65.80%,65.30%,64.90%,64.00%
0850011,Monroe School District,ELA,1182,1183,1187,1154,1171,1202,49.10%,47.90%,48.60%,52.90%,50.20%,42.20%,64.60%,64.10%,65.20%,69.80%,68.70%,59.20%
0850011,Monroe School District,Math,1181,1181,1185,1150,1157,1192,49.60%,47.10%,45.10%,49.80%,53.30%,45.20%,70.80%,67.20%,64.00%,68.60%,73.30%,64.60%
0860011,Montville School District,ELA,832,820,839,795,761,750,44.60%,34.80%,40.50%,43.80%,36.40%,36.00%,65.30%,55.30%,60.90%,62.30%,54.90%,54.80%
0860011,Montville School District,Math,833,819,835,793,756,751,45.90%,39.70%,46.10%,45.90%,43.40%,39.90%,68.10%,60.10%,65.10%,64.00%,60.40%,57.60%
0880011,Naugatuck School District,ELA,1533,1525,1492,1513,1453,1472,41.80%,33.00%,42.60%,42.20%,34.40%,32.90%,64.50%,53.20%,63.60%,62.50%,54.10%,54.40%
0880011,Naugatuck School District,Math,1538,1521,1489,1511,1430,1467,33.10%,43.90%,50.80%,37.30%,37.60%,35.30%,54.70%,64.50%,71.80%,55.70%,57.40%,54.60%
2800013,New Beginnings Inc Family Academy District,ELA,169,190,189,188,194,132,34.30%,24.70%,30.20%,36.20%,42.30%,17.40%,56.80%,47.60%,52.90%,62.80%,64.90%,39.80%
2800013,New Beginnings Inc Family Academy District,Math,169,190,188,188,189,131,31.40%,19.50%,24.50%,43.60%,46.00%,32.80%,54.30%,37.50%,46.10%,72.50%,67.50%,53.20%
0890011,New Britain School District,ELA,3118,3292,3401,3477,2793,3314,28.90%,20.90%,31.20%,26.10%,30.60%,28.10%,51.60%,42.20%,54.90%,48.80%,53.60%,51.20%
0890011,New Britain School District,Math,3143,3274,3377,3446,2654,3265,24.80%,25.40%,33.40%,24.20%,35.20%,35.70%,44.70%,44.90%,55.10%,44.20%,55.00%,56.80%
0900011,New Canaan School District,ELA,1556,1626,1538,1552,1519,1517,52.80%,60.10%,59.00%,59.00%,51.70%,56.60%,68.70%,75.70%,73.80%,72.80%,66.90%,72.20%
0900011,New Canaan School District,Math,1558,1622,1536,1550,1516,1515,59.60%,75.60%,67.40%,70.00%,59.90%,64.90%,77.70%,91.30%,81.20%,84.70%,75.90%,80.10%
0910011,New Fairfield School District,ELA,795,774,747,741,753,749,50.90%,35.90%,52.30%,43.20%,49.10%,40.70%,71.10%,53.00%,72.40%,62.10%,69.20%,59.70%
0910011,New Fairfield School District,Math,779,763,741,740,752,747,58.40%,47.80%,53.60%,47.30%,60.20%,51.90%,79.40%,69.00%,72.50%,65.50%,78.80%,69.90%
0920011,New Hartford School District,ELA,197,202,196,185,183,175,43.10%,28.70%,49.00%,44.90%,30.60%,38.90%,66.40%,49.20%,68.70%,63.20%,52.40%,62.70%
0920011,New Hartford School District,Math,196,201,195,184,182,172,32.10%,33.30%,41.50%,43.50%,47.30%,34.30%,56.80%,58.60%,62.70%,62.30%,69.10%,57.80%
0930011,New Haven School District,ELA,6725,7067,7183,7163,5216,6264,38.90%,30.00%,35.00%,32.60%,36.20%,29.30%,63.30%,53.00%,58.30%,55.20%,58.70%,52.10%
0930011,New Haven School District,Math,6796,7036,7158,7139,4905,6181,40.90%,31.60%,32.60%,33.30%,39.40%,32.70%,63.50%,52.90%,53.60%,53.60%,59.70%,52.90%
0950011,New London School District,ELA,993,1119,1181,1138,855,952,31.80%,23.00%,33.00%,31.10%,24.40%,25.40%,53.90%,45.10%,55.60%,52.10%,47.70%,49.40%
0950011,New London School District,Math,1012,1112,1178,1133,833,944,27.10%,26.00%,35.20%,30.90%,31.20%,30.20%,49.50%,48.20%,56.30%,49.30%,52.80%,49.70%
0960011,New Milford School District,ELA,1469,1496,1487,1438,1183,1214,40.30%,35.00%,45.20%,36.50%,35.20%,29.50%,61.10%,53.60%,65.90%,55.00%,56.30%,51.00%
0960011,New Milford School District,Math,1440,1468,1478,1428,1166,1196,44.20%,39.20%,42.10%,41.90%,42.50%,31.40%,64.60%,58.70%,61.80%,63.40%,63.00%,53.00%
0940011,Newington School District,ELA,1521,1550,1550,1546,1353,1377,37.30%,30.10%,45.10%,34.40%,39.10%,33.40%,58.20%,48.50%,67.10%,53.50%,60.40%,52.50%
0940011,Newington School District,Math,1522,1545,1544,1542,1335,1359,37.60%,39.00%,42.60%,42.80%,48.00%,39.90%,56.30%,59.90%,64.00%,63.50%,68.90%,60.30%
0970011,Newtown School District,ELA,1704,1609,1532,1505,1343,1408,45.80%,36.90%,45.30%,46.10%,46.90%,40.00%,63.90%,54.30%,65.00%,65.50%,64.90%,57.90%
0970011,Newtown School District,Math,1703,1606,1531,1504,1339,1406,59.10%,48.80%,46.40%,51.60%,55.00%,45.30%,78.00%,67.20%,64.60%,69.60%,74.60%,64.30%
0980011,Norfolk School District,ELA,44,38,39,36,30,30,45.50%,36.80%,43.60%,22.20%,30.00%,23.30%,65.80%,62.70%,66.10%,47.10%,55.00%,39.20%
0980011,Norfolk School District,Math,44,38,39,36,29,28,50.00%,39.50%,38.50%,19.40%,24.10%,25.00%,69.80%,59.30%,63.10%,42.60%,56.70%,37.60%
0990011,North Branford School District,ELA,705,650,648,670,593,576,43.30%,30.80%,36.10%,30.40%,42.30%,35.40%,64.40%,48.90%,55.40%,51.20%,63.40%,55.40%
0990011,North Branford School District,Math,705,648,648,668,592,576,45.50%,38.40%,39.70%,41.80%,55.70%,46.50%,66.10%,59.70%,58.10%,62.70%,75.50%,65.20%
1000011,North Canaan School District,ELA,110,129,138,120,125,121,58.20%,36.40%,44.90%,46.70%,47.20%,52.10%,77.40%,55.50%,69.50%,67.00%,68.30%,69.20%
1000011,North Canaan School District,Math,110,129,138,120,124,121,50.00%,34.90%,34.10%,40.80%,41.90%,52.10%,74.00%,51.80%,54.60%,64.60%,68.90%,72.30%
1010011,North Haven School District,ELA,1128,1153,1174,1133,1117,1149,66.90%,36.80%,42.30%,46.80%,44.60%,42.90%,87.30%,55.60%,61.60%,64.60%,63.90%,61.40%
1010011,North Haven School District,Math,1130,1147,1168,1130,1109,1149,69.70%,43.40%,48.90%,51.90%,51.90%,46.80%,90.70%,64.70%,67.70%,69.10%,70.60%,66.10%
1020011,North Stonington School District,ELA,264,271,272,278,271,267,49.20%,43.90%,50.00%,50.00%,43.20%,37.80%,66.00%,61.70%,67.40%,66.70%,61.60%,53.10%
1020011,North Stonington School District,Math,264,271,272,278,271,267,49.20%,45.80%,43.00%,52.20%,50.60%,50.90%,67.50%,62.50%,58.10%,68.80%,69.70%,69.20%
1030011,Norwalk School District,ELA,3849,3987,4041,4025,3750,3802,35.60%,37.20%,37.80%,38.60%,36.40%,33.90%,57.30%,58.50%,58.80%,60.40%,57.10%,55.30%
1030011,Norwalk School District,Math,3915,3980,4037,4022,3685,3777,37.20%,43.60%,41.30%,41.30%,41.80%,39.70%,58.60%,64.60%,61.30%,60.90%,62.60%,60.10%
1040011,Norwich School District,ELA,1629,1603,1573,1607,1523,1534,37.90%,32.50%,26.90%,27.40%,25.20%,30.10%,60.40%,54.70%,47.30%,48.10%,45.70%,51.70%
1040011,Norwich School District,Math,1643,1599,1566,1604,1495,1522,37.70%,35.30%,28.70%,26.90%,24.90%,32.40%,59.70%,56.70%,47.80%,47.60%,44.00%,52.80%
2630013,Odyssey Community School District,ELA,175,175,178,177,165,174,36.60%,27.40%,30.30%,45.20%,37.00%,37.40%,62.10%,47.50%,54.60%,66.90%,58.50%,57.40%
2630013,Odyssey Community School District,Math,175,175,178,177,163,173,33.10%,40.00%,31.50%,48.60%,55.20%,46.20%,54.10%,58.20%,54.40%,68.40%,75.90%,67.40%
1060011,Old Saybrook School District,ELA,501,469,416,432,371,378,45.50%,43.10%,34.90%,61.10%,45.60%,46.30%,65.40%,62.80%,53.10%,78.60%,65.90%,67.30%
1060011,Old Saybrook School District,Math,503,469,414,430,367,375,49.10%,44.80%,46.40%,61.60%,55.60%,38.40%,70.60%,64.60%,65.30%,80.90%,76.30%,57.90%
1070011,Orange School District,ELA,509,499,483,495,498,506,53.80%,54.70%,51.30%,52.70%,53.00%,48.20%,74.00%,74.80%,71.60%,72.90%,73.20%,69.60%
1070011,Orange School District,Math,514,499,482,492,498,504,50.20%,63.50%,52.50%,54.50%,56.60%,53.80%,74.20%,86.70%,74.40%,76.90%,78.20%,75.60%
1080011,Oxford School District,ELA,776,767,738,713,598,599,39.20%,37.90%,41.10%,41.70%,39.30%,36.10%,57.30%,57.10%,61.70%,62.90%,58.90%,55.10%
1080011,Oxford School District,Math,775,766,734,712,595,594,48.10%,34.30%,41.40%,41.40%,47.90%,39.10%,70.70%,54.90%,63.20%,61.80%,66.20%,58.10%
2830013,Park City Prep Charter School District,ELA,337,339,343,346,310,350,46.30%,35.10%,34.10%,52.90%,57.40%,44.30%,70.80%,57.90%,54.60%,75.40%,77.20%,65.20%
2830013,Park City Prep Charter School District,Math,336,335,340,341,290,340,57.40%,33.10%,46.50%,62.20%,59.00%,54.40%,77.10%,54.40%,64.50%,81.00%,75.70%,74.60%
1090011,Plainfield School District,ELA,802,785,778,759,689,669,47.90%,37.80%,38.30%,41.20%,38.60%,42.90%,70.80%,57.30%,58.30%,61.50%,60.30%,63.30%
1090011,Plainfield School District,Math,799,785,778,760,687,667,56.30%,41.80%,38.00%,38.00%,40.50%,45.90%,79.60%,61.10%,57.60%,59.40%,62.50%,67.10%
1100011,Plainville School District,ELA,856,848,842,826,818,819,42.90%,34.80%,45.50%,43.90%,35.20%,41.50%,65.70%,56.00%,65.40%,63.50%,54.60%,61.90%
1100011,Plainville School District,Math,856,846,840,826,815,817,39.70%,37.70%,54.50%,44.30%,40.50%,54.50%,63.70%,58.20%,75.10%,63.60%,61.30%,74.50%
1110011,Plymouth School District,ELA,536,537,556,541,450,463,43.80%,31.10%,29.10%,48.60%,35.10%,30.00%,64.00%,52.00%,48.80%,69.10%,55.40%,51.00%
1110011,Plymouth School District,Math,539,537,554,541,447,460,49.70%,40.80%,39.90%,44.50%,44.50%,35.70%,73.70%,61.20%,59.60%,66.40%,64.80%,58.10%
1120011,Pomfret School District,ELA,221,202,198,205,180,188,51.60%,33.70%,52.50%,39.50%,46.70%,39.90%,70.30%,54.10%,74.80%,56.20%,62.30%,57.50%
1120011,Pomfret School District,Math,221,201,198,204,180,189,48.90%,45.30%,37.40%,44.60%,38.30%,51.90%,68.40%,63.10%,57.50%,62.30%,58.60%,70.40%
1130011,Portland School District,ELA,508,507,496,474,482,488,48.80%,38.90%,47.60%,39.20%,40.70%,42.00%,67.90%,54.50%,63.20%,57.40%,60.20%,60.90%
1130011,Portland School District,Math,508,506,494,473,477,486,47.40%,41.30%,46.80%,48.00%,48.60%,41.80%,70.50%,60.70%,68.50%,68.90%,65.90%,59.50%
1140011,Preston School District,ELA,215,220,222,214,200,208,36.70%,40.00%,32.90%,39.30%,50.50%,41.80%,55.50%,61.60%,52.50%,60.10%,69.00%,63.90%
1140011,Preston School District,Math,214,220,221,214,200,209,42.50%,40.90%,33.50%,40.20%,33.00%,42.10%,62.60%,62.20%,53.60%,63.60%,54.10%,66.90%
1160011,Putnam School District,ELA,395,397,404,408,353,383,43.80%,38.30%,37.40%,32.10%,27.20%,24.50%,64.10%,60.20%,59.30%,51.20%,49.20%,44.40%
1160011,Putnam School District,Math,395,384,394,405,347,380,48.40%,35.40%,28.70%,28.60%,39.80%,21.60%,69.80%,55.80%,50.40%,49.40%,61.00%,44.60%
1170011,Redding School District,ELA,502,511,495,446,386,404,51.40%,38.40%,51.70%,49.10%,47.90%,49.00%,69.00%,53.60%,68.30%,65.60%,66.20%,65.40%
1170011,Redding School District,Math,496,511,493,444,384,399,55.60%,49.10%,58.20%,57.90%,60.70%,49.60%,75.00%,67.60%,75.80%,74.10%,78.60%,68.70%
2010012,Regional School District 01,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010012,Regional School District 01,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2040012,Regional School District 04,ELA,300,318,310,272,222,222,42.70%,40.30%,43.90%,35.30%,30.20%,28.80%,57.50%,55.60%,58.80%,48.70%,45.30%,42.60%
2040012,Regional School District 04,Math,300,314,307,271,219,224,41.30%,47.10%,44.30%,39.90%,35.20%,32.60%,58.90%,62.90%,59.00%,55.50%,50.70%,44.70%
2050012,Regional School District 05,ELA,714,730,681,630,673,673,50.80%,44.90%,59.00%,48.30%,44.60%,43.80%,69.30%,61.60%,74.70%,63.60%,59.30%,57.70%
